LOC_CODE,DTNAME,AREA,RES_HOUSE,HOUSEHOLDS,T_POPLN,T_M_POPLN,T_F_POPLN,POPLN_M6,POPLN_F6,M_SC,F_SC,M_ST,F_ST,M_LITERATE,F_LITERATE,T_M_WORKER,T_F_WORKER,M_INDCAT1,F_INDCAT1,M_INDCAT2,F_INDCAT2,M_INDCAT3,F_INDCAT3,M_INDCAT4,F_INDCAT4,M_INDCAT5A,F_INDCAT5A,M_INDCAT5B,F_INDCAT5B,M_INDCAT6,F_INDCAT6,M_INDCAT7,F_INDCAT7,M_INDCAT8,F_INDCAT8,M_INDCAT9,F_INDCAT9,M_MARGINAL,F_MARGINAL,M_NON_WORK,F_NON_WORK
1201,KASARAGOD,1856.60,151219,152107,895282,442648,452634,71376,68607,37889,37319,14651,14273,327547,289228,194586,80712,33219,5483,51125,21292,28164,3618,3945,518,840,469,14416,39940,7900,284,25554,1972,9209,213,20214,6923,11307,15604,236755,356318
1202,KANNUR,2320.80,191740,193086,1106251,545613,560638,77363,74904,24252,23950,8839,8801,442248,416047,233639,70257,37289,6918,52072,35780,39823,5817,9291,2722,1798,1102,13008,3994,9436,824,31930,1160,11016,1198,27976,10742,16577,19935,295397,470446
1203,WAYANAD,2091.50,128497,129927,649179,330174,319005,48392,46747,13435,12952,56176,56367,246673,211392,162805,56700,35785,4638,47376,26597,36457,15764,825,265,719,298,5570,760,3206,288,14494,673,5100,107,13273,7310,12878,19192,154491,243113
1204,KOZHIKODE,1993.50,292003,293134,1615444,796383,819061,109905,105156,65692,66167,2388,2554,653874,612544,311272,57610,29216,2411,51086,15195,54591,4511,9999,2008,3431,3412,23514,7365,16804,1107,54357,1487,24686,5157,43588,14957,39977,26615,445134,734836
1205,MALAPPURAM,3374.70,433088,434287,2813876,1369418,1444458,263004,251948,116903,120330,5192,5322,1018134,1000651,515688,96079,78117,5666,163094,52428,34471,2109,7866,750,7733,3699,36560,4501,22594,642,71201,1881,31629,545,62423,23858,42382,33200,811348,1315179
1206,PALAKKAD,4254.00,371215,375312,2007658,972765,1034893,147659,143436,163090,170791,17601,17298,712088,664674,452269,220036,74267,17377,161500,161818,18814,4025,3869,568,11806,5727,43003,5668,13443,569,54462,3283,25916,528,45189,20473,20996,32651,499500,782206
1207,THRISSUR,2692.80,384498,386617,2017095,964593,1052502,128576,122074,131848,138864,1904,1987,778118,798541,429759,167438,57413,9640,92435,73207,37560,4886,4003,1115,10390,15647,57795,20790,20684,2364,67674,4402,33944,1959,47861,33428,24508,31913,510326,853151
1208,ERNAKULAM,1835.60,285055,286022,1444059,722730,721329,81640,77609,74968,75800,1148,1054,606100,564669,359572,104569,62349,6558,71143,43046,39413,3837,5172,1106,4879,3399,44573,16047,24579,1179,43762,4864,26599,1229,37103,23304,19281,24617,343877,592143
1209,IDUKKI,5037.80,221076,222481,1027185,520308,506877,67368,64633,77108,76752,25102,24429,410503,365599,272963,100222,65827,7740,58397,24492,85090,51462,791,124,1644,618,9790,1536,5397,316,20215,1477,7532,367,18280,12090,15033,23423,232312,383232
1210,KOTTAYAM,2026.90,298104,299070,1507353,752358,754995,85565,81019,58552,59137,8700,8882,649532,633307,367276,77510,77357,2405,85553,28223,47875,3713,2398,184,5432,4902,27938,4891,14258,454,44429,4655,20697,828,41339,27255,14703,15416,370379,662069
1211,ALAPPUZHA,1073.10,283959,285159,1391607,677351,714256,79079,74810,76344,78345,880,852,578660,585533,294118,124173,39412,3533,77208,47978,33067,1354,1668,259,7566,27673,26871,17583,11924,432,37643,3996,16208,796,42551,20569,24043,33483,359190,556600
1212,PATHANAMTHITTA,2521.60,226234,226793,1033298,500965,532333,61033,58451,68745,70818,3292,3298,424275,441847,232121,48460,72107,4048,60550,17428,16202,3339,1455,154,2787,514,13517,2042,8421,170,22256,2207,11082,542,23744,18016,10230,18550,258614,465323
1213,KOLLAM,2377.50,402078,404517,1961530,962181,999349,121962,116751,131743,135067,1695,1748,791816,766918,427001,125129,97240,6027,116294,27076,31737,3704,3106,820,5154,5691,39114,49668,14889,294,47710,4854,21080,740,50677,26255,35924,52445,499256,821775
1214,THIRUVANANTHAPURAM,1928.40,408009,413655,1948407,955301,993106,128638,123959,118915,126148,7411,7920,760530,731860,468428,126473,77377,12570,185095,40270,30684,1870,2559,816,8007,7720,26933,25302,19512,761,37706,9846,22277,1661,58278,25657,23918,36441,462955,830192
