District,1991,2001,2011
Kasaragod         ,0.578191648,0.137346152,0.129117092
Kannur            ,0.552921387,0.140194826,0.115669035
Wayanad           ,0.734731734,0.445356459,0.437247598
Kozhikode         ,0.433360534,0.090069674,0.076488897
Malappuram        ,0.534590683,0.203694498,0.150464104
Palakkad          ,0.562897302,0.309148915,0.233112771
Thrissur          ,0.436076964,0.128691418,0.091302704
Ernakulam         ,0.48086336,0.105352423,0.086636301
Idukki            ,0.766821877,0.488632211,0.471293547
Kottayam          ,0.57391444,0.202036286,0.159495205
Alappuzha         ,0.508935189,0.124807307,0.097053116
Pathanamthitta    ,0.64129915,0.331283909,0.261990145
Kollam            ,0.574403807,0.215497776,0.167004309
Thiruvananthapuram,0.62582937,0.140360439,0.099097701
